GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALW1E001,NAME_M,ALW1M001
"G01000100","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00100","79500US0100100",,,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA; Alabama",46208,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA; Alabama",1540
"G01000200","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00200","79500US0100200",,,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama",67155,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama",2093
"G01000301","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00301","79500US0100301",,,"Huntsville (North) & Madison (East) Cities PUMA, Alabama",64223,"Huntsville (North) & Madison (East) Cities PUMA, Alabama",1487
"G01000302","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00302","79500US0100302",,,"Huntsville City (Central & South) PUMA, Alabama",53989,"Huntsville City (Central & South) PUMA, Alabama",1967
"G01000400","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00400","79500US0100400",,,"DeKalb & Jackson Counties PUMA, Alabama",41128,"DeKalb & Jackson Counties PUMA, Alabama",982
"G01000500","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00500","79500US0100500",,,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama",54060,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama",1498
"G01000600","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00600","79500US0100600",,,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama",50422,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama",1492
"G01000700","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00700","79500US0100700",,,"Cullman & Winston Counties PUMA, Alabama",43354,"Cullman & Winston Counties PUMA, Alabama",1188
"G01000800","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00800","79500US0100800",,,"St. Clair & Blount Counties PUMA, Alabama",54689,"St. Clair & Blount Counties PUMA, Alabama",1339
"G01000900","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00900","79500US0100900",,,"Etowah County PUMA, Alabama",44637,"Etowah County PUMA, Alabama",1878
"G01001000","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01000","79500US0101000",,,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA; Alabama",41957,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA; Alabama",1506
"G01001100","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01100","79500US0101100",,,"Calhoun County PUMA, Alabama",47255,"Calhoun County PUMA, Alabama",2090
"G01001200","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01200","79500US0101200",,,"Shelby County PUMA, Alabama",77799,"Shelby County PUMA, Alabama",2248
"G01001301","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01301","79500US0101301",,,"Birmingham City (West) PUMA, Alabama",31461,"Birmingham City (West) PUMA, Alabama",991
"G01001302","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01302","79500US0101302",,,"Birmingham City (East) PUMA, Alabama",38560,"Birmingham City (East) PUMA, Alabama",2142
"G01001303","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01303","79500US0101303",,,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA; Alabama",82245,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA; Alabama",1880
"G01001304","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01304","79500US0101304",,,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities PUMA; Alabama",59266,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities PUMA; Alabama",1946
"G01001305","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01305","79500US0101305",,,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities PUMA; Alabama",55314,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities PUMA; Alabama",1743
"G01001400","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01400","79500US0101400",,,"Walker, Marion (South & West), Fayette & Lamar Counties PUMA; Alabama",41691,"Walker, Marion (South & West), Fayette & Lamar Counties PUMA; Alabama",1524
"G01001500","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01500","79500US0101500",,,"Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West) PUMA, Alabama",62557,"Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West) PUMA, Alabama",1956
"G01001600","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01600","79500US0101600",,,"Tuscaloosa & Northport (Southeast) Cities PUMA, Alabama",43658,"Tuscaloosa & Northport (Southeast) Cities PUMA, Alabama",2036
"G01001700","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01700","79500US0101700",,,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties PUMA; Alabama",32569,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties PUMA; Alabama",1407
"G01001800","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01800","79500US0101800",,,"Chilton, Tallapoosa, Chambers & Coosa Counties PUMA; Alabama",44785,"Chilton, Tallapoosa, Chambers & Coosa Counties PUMA; Alabama",1542
"G01001900","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01900","79500US0101900",,,"Lee County--Auburn City PUMA, Alabama",51463,"Lee County--Auburn City PUMA, Alabama",2221
"G01002000","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02000","79500US0102000",,,"Montgomery City & Pike Road Town (North) PUMA, Alabama",48329,"Montgomery City & Pike Road Town (North) PUMA, Alabama",1137
"G01002100","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02100","79500US0102100",,,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties PUMA; Alabama",57873,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties PUMA; Alabama",2284
"G01002200","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02200","79500US0102200",,,"Southwest Alabama PUMA, Alabama",36006,"Southwest Alabama PUMA, Alabama",1302
"G01002300","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02300","79500US0102300",,,"Coffee, Covington, Butler & Crenshaw Counties PUMA; Alabama",46939,"Coffee, Covington, Butler & Crenshaw Counties PUMA; Alabama",1262
"G01002400","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02400","79500US0102400",,,"Russell, Pike, Barbour, Macon & Bullock Counties PUMA; Alabama",38204,"Russell, Pike, Barbour, Macon & Bullock Counties PUMA; Alabama",1508
"G01002500","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02500","79500US0102500",,,"Houston, Dale, Geneva & Henry Counties--Dothan City PUMA; Alabama",46548,"Houston, Dale, Geneva & Henry Counties--Dothan City PUMA; Alabama",1030
"G01002600","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02600","79500US0102600",,,"Baldwin County PUMA, Alabama",58320,"Baldwin County PUMA, Alabama",1564
"G01002701","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02701","79500US0102701",,,"Mobile City (East) PUMA, Alabama",35182,"Mobile City (East) PUMA, Alabama",1454
"G01002702","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02702","79500US0102702",,,"Mobile City (West) PUMA, Alabama",46951,"Mobile City (West) PUMA, Alabama",1956
"G01002703","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02703","79500US0102703",,,"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City PUMA; Alabama",56155,"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City PUMA; Alabama",2004
